AYLB	Lab Lab Airport	-5.72040	148.05660
AYLC	Lake Campbell Airstrip	-6.74860	142.60370
AYLE	Lele Airstrip	-5.21920	151.39380
AYLF	Lumusa Airstrip	-5.52778	144.06556
AYLG	Keglsugl Airport	-5.83278	145.09722
AYLH	Klauhau Airstrip	-4.13050	142.24950
AYLI	Kibuli Airstrip	-9.00653	142.69806
AYLJ	Lamogai Airstrip	-5.81904	149.30531
AYLL	Linga Linga Airport	-5.53194	149.73417
AYLM	Lake Murray Airport	-7.00992	141.49400
AYLN	Langimar Airport	-7.22314	146.22708
AYLO	Lowai Airport	-6.33440	146.64580
AYLP	Leron Plains Airport	-6.39170	146.34340
AYLQ	Lagoon Airstrip	-8.81860	143.13170
AYLS	Lese Airport	-8.27990	146.27650
AYLT	Lengbati Airport	-6.38461	147.36864
AYLU	Lumi Airport	-3.47684	142.04129
AYLX	Long Island Airport	-5.36040	147.01770
AYLY	Myola Airstrip	-9.15157	147.76232
AYLZ	Slai Airstrip	-4.03220	143.18310
AYMA	Manari Airport	-9.19080	147.62190
AYMB	Morobe Airport	-7.74000	147.59000
AYMC	Menyamya Airport	-7.21167	146.01936
AYMD	Madang Airport	-5.20708	145.78900
AYMF	Maimafu Airstrip	-6.50322	145.03266
AYMG	Magleri Airstrip	-4.05206	141.98628
AYMH	Mount Hagen Kagamuga Airport	-5.82821	144.29941
AYMI	Mindik Airport	-6.47167	147.44114
AYMJ	Makini Airport	-6.53222	147.65117
AYMK	Mok Airport	-5.73024	149.05658
AYML	Mougulu Airport	-6.28086	142.42077
AYMM	Mal Airport	-1.39139	144.17131
AYMN	Mendi Airport	-6.14774	143.65700
AYMO	Momote Airport	-2.06189	147.42400
AYMP	Malalaua Airport	-8.07139	146.15547
AYMQ	Malam Airport	-8.70917	142.64972
AYMR	Moro Airport	-6.36333	143.23801
AYMS	Misima Island Airport	-10.68920	152.83800
AYMT	Malamaunda Airstrip	-4.91907	143.16085
AYMU	Muluma Airstrip	-6.42648	142.76748
AYMV	Malekolon Airport	-4.02343	153.65728
AYMW	Marawaka Airport	-6.97360	145.88490
AYMX	Mamusi Airstrip	-5.19695	144.19183
AYMY	Smok Airstrip	-3.31580	141.24610
AYMZ	Mapua(Mabua) Airport	-2.81139	151.99111
AYNA	Nankina Airport	-5.83700	146.45330
AYNB	Kanabea Airport	-7.53889	145.90500
AYNC	Nadunumu Airport	-9.14356	147.68425
AYND	Aua Island Airport	-1.46056	143.06472
AYNE	Negarbo(Negabo) Airport	-6.56778	144.70306
AYNF	Nagri Airport	-4.09159	142.59294
AYNG	Manguna Airport	-5.57778	151.79233
AYNH	Nahu Airstrip	-5.84273	146.11260
AYNI	Nuguria Airstrip	-3.40750	154.73830
AYNJ	Namudi Airport	-9.47375	148.32942
AYNL	Naoro Airport	-9.25446	147.62135
AYNM	Kasonombe Airport	-6.38190	146.98590
AYNN	Kandep Airport	-5.84061	143.50722
AYNO	Nomane Airport	-6.32183	145.07067
AYNP	Momonup Airstrip	-4.50431	144.23147
AYNQ	Kibeni Airstrip	-7.48460	143.82240
AYNR	Nomad River Airport	-6.29400	142.23417
AYNS	Bunsil Airport	-5.72430	147.86670
AYNT	Kantobo Airstrip	-6.72270	143.56360
AYNU	Nuku Airport	-3.67677	142.48492
AYNW	Nowata Airport	-9.98417	149.72917
AYNX	Namatanai Airport	-3.66950	152.43800
AYNY	Nambaiyufa Airport	-6.24120	145.24240
AYNZ	Nadzab Tomodachi International Airport	-6.56799	146.72654
AYOA	Kwomtari Airstrip	-3.59800	141.36140
AYOB	Obo Airport	-7.59062	141.32426
AYOD	Obura Airstrip	-6.55070	145.97280
AYOE	Konge Airport	-6.22390	147.21520
AYOF	Okao Airport	-5.55667	141.03278
AYOG	Ogeranang Airport	-6.46675	147.36417
AYOH	Okisai Airstrip	-4.70650	141.90060
AYOI	Boikoa Airstrip	-7.03861	145.73417
AYOJ	Oksapmin Airport	-5.22610	142.22590
AYOK	Komako Airport	-7.39840	145.88270
AYOL	Kol Airport	-5.73117	144.84600
AYOM	Omora Airport	-7.82778	147.08064
AYON	Koinambe Airport	-5.48750	144.60694
AYOO	Komo-Manda Airport	-6.06820	142.85980
AYOP	Kosipe Airport	-8.45072	147.20919
AYOQ	Komaio Airport	-7.27140	143.59520
AYOR	Kabori Airstrip	-3.32161	141.85842
AYOS	Kosimbi Airstrip	-3.95220	143.17670
AYOU	Kombaku Airstrip	-5.38170	144.63550
AYOV	Olsobip Airport	-5.38972	141.51528
AYOW	Koroba Airport	-5.69520	142.74410
AYOX	Moi Airstrip	-4.16150	141.24780
AYOY	Open Bay Airport	-4.79473	151.69619
AYOZ	Kora Airstrip	-6.43040	145.09310
AYPA	Somokopa Airstrip	-7.08380	142.51400
AYPB	Paiela Airport	-5.37241	142.97577
AYPC	Pangoa Airport	-7.02260	141.56050
AYPD	Pindiu Airport	-6.44514	147.51583
AYPE	April River Airport	-4.67667	142.54014
AYPG	Pangia Airport	-6.38600	144.10840
AYPI	Kapi Airstrip	-6.37100	144.68390
AYPJ	Pimaga Airport	-6.49917	143.51028
AYPK	Pasinkap Airstrip	-5.01363	144.84243
AYPO	Mapoda Airport	-7.97900	143.16940
AYPQ	Pumani Airport	-9.74690	149.47660
AYPS	Maposi Airstrip	-4.54597	142.22107
AYPU	Walluanda Airport	-6.47516	143.98722
AYPW	Panakawa Airport	-7.67206	143.12472
AYPX	Pukapuki Airstrip	-4.53620	142.51760
AYPY	Port Moresby Jacksons International Airport	-9.44338	147.22000
AYQA	Karawari Airstrip	-4.59667	143.52250
AYQB	Simbari Airstrip	-6.96230	145.64480
AYQL	Tumolbil Airport	-4.77480	141.01330
AYQM	Simogu Airstrip	-6.80080	145.71340
AYQO	Sopu Airport	-8.30380	147.16590
AYQP	Sipump Airport	-5.50244	144.45810
AYQQ	Ononge Airport	-8.67436	147.26242
AYQR	Sorimi Airstrip	-4.32391	141.37563
AYQS	Sialum Airport	-6.09080	147.59550
AYQU	Tsumba Airstrip	-4.65810	144.60820
AYQV	Sinow Airstrip	-3.99250	141.55370
AYQW	Sumwari Airstrip	-4.75080	142.36860
AYRA	Kira Airport	-8.06511	147.33203
AYRD	Rano Airstrip	-5.95944	151.17170
AYRE	Raba Raba Airport	-9.97111	149.83222
AYRF	Arufi Airstrip	-8.75389	141.91139
AYRG	Rumginae Airport	-5.89722	141.27167
AYRI	Karimui Airport	-6.49210	144.82300
AYRJ	Mariama	-4.61239	143.24703
AYRK	Kairuku Airport	-8.81700	146.52438
AYRL	Maralina Airstrip	-6.90150	146.36980
AYRM	Maramuni Airport	-5.13000	143.48290
AYRN	Norambi Airstrip.	-6.91250	145.67310
AYRO	Kakoro(Koroko) Airstrip	-7.83467	146.53350
AYRR	Tiri Airstrip	-6.68150	144.18420
AYRT	Kirinbit Airstrip	-4.28390	143.15120
AYRV	May River Airstrip	-4.36150	141.78500
AYRW	Kiriwo Airstrip	-8.43700	141.51420
AYRX	Mount Boregoro Helicopter Landing  Site	-9.89440	148.10690
AYSA	Suabi Airport	-6.10444	142.27833
AYSB	Sirebi Airstrip	-7.21960	144.23520
AYSC	Samban Airstrip	-4.36550	144.06120
AYSD	Saidor Airport	-5.62714	146.46278
AYSE	Simberi Airport	-2.66222	151.99778
AYSF	Safia Airport	-9.59447	148.63931
AYSG	Sila Airport	-9.07356	148.38925
AYSH	Sabah Airport	-5.57650	155.04890
AYSI	Seltamin Airstrip	-5.41220	141.82520
AYSJ	Simbai Airport	-5.27861	144.54472
AYSK	Sengapi Airstrip	-5.12583	144.32361
AYSL	Sehulea Airport	-9.96453	151.16186
AYSM	Samberigi Airstrip	-6.71930	143.93380
AYSN	Assengseng Airstrip	-6.02361	149.78583
AYSO	Selbang Airport	-5.31500	141.75200
AYSP	Sapmanga Airport	-6.07528	146.81111
AYSQ	Sepik Plains Airport	-3.88210	143.67340
AYSR	Sangera Airstrip	-3.96780	143.27630
AYSS	Sasereme Airport	-7.62170	142.86800
AYST	Sturt Island Airport	-8.15250	142.26844
AYSU	Suki Airport	-8.04660	141.72220
AYSV	Sauren Airport	-5.97010	148.85430
AYSW	Satwag Airport	-6.13956	147.27917
AYSX	Masa Airport	-6.34500	147.59100
AYSY	Serra Airstrip	-2.97390	141.92970
AYSZ	Samanzing Airstrip	-6.45130	147.06730
AYTA	Tari Airport	-5.84500	142.94800
AYTB	Tabubil Airport	-5.28047	141.22758
AYTC	Tapila Airstrip	-8.41880	142.90430
AYTD	Teredau Airport	-7.32050	144.63840
AYTE	Telefomin Airport	-5.12608	141.64192
AYTF	Tetebedi Airport	-9.15860	148.06860
